Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
252,Michael Kidd-Gilchrist,20,CHO,62,62,24.2,2.7,5.7,0.473,0,0.1,0.111,2.7,5.5,0.483,0.475,1.8,3,0.614,1.8,3.5,5.2,0.8,0.7,0.6,1,2.3,7.2
253,Andrei Kirilenko,32,BRK,45,4,19,1.8,3.6,0.513,0,0.1,0.2,1.8,3.4,0.523,0.516,1.4,2.6,0.513,1.2,2,3.2,1.6,0.9,0.4,1.2,1.4,5
254,Brandon Knight,22,MIL,72,69,33.3,6.4,15.2,0.422,1.5,4.7,0.325,4.9,10.5,0.466,0.473,3.6,4.5,0.802,0.6,2.9,3.5,4.9,1,0.2,2.6,2,17.9
255,Kyle Korver,32,ATL,71,71,33.9,4.1,8.6,0.475,2.6,5.5,0.472,1.5,3.1,0.479,0.626,1.2,1.3,0.926,0.3,3.7,4,2.9,1,0.3,1.4,2.1,12
256,Kosta Koufos,24,MEM,80,22,16.9,2.8,5.7,0.495,0,0,,2.8,5.7,0.495,0.495,0.8,1.2,0.645,2,3.2,5.2,0.5,0.4,0.9,0.8,2.3,6.4
257,Viacheslav Kravtsov,26,PHO,20,0,3,0.4,0.8,0.533,0,0,,0.4,0.8,0.533,0.533,0.2,0.4,0.5,0.5,0.4,0.9,0.1,0,0.1,0.3,0.4,1
258,Ognjen Kuzmic,23,GSW,21,0,4.4,0.2,0.6,0.385,0,0,,0.2,0.6,0.385,0.385,0.2,0.5,0.455,0.5,0.5,1,0.1,0.1,0.2,0.5,0.8,0.7
259,Doron Lamb,22,ORL,53,0,13.1,1.2,3,0.394,0.7,1.7,0.4,0.5,1.3,0.386,0.506,0.5,0.7,0.806,0.2,0.8,0.9,0.8,0.2,0,0.5,1,3.6
260,Jeremy Lamb,21,OKC,78,0,19.7,3.4,7.8,0.432,1.1,3.2,0.356,2.2,4.6,0.483,0.504,0.7,0.8,0.797,0.3,2.1,2.4,1.5,0.7,0.3,0.8,1.8,8.5
261,Carl Landry,30,SAC,18,1,12.9,1.7,3.3,0.517,0,0,,1.7,3.3,0.517,0.517,0.8,0.9,0.824,0.8,2.3,3.2,0.3,0.2,0.1,0.5,1.9,4.2
262,Shane Larkin,21,DAL,48,0,10.2,1.1,2.9,0.38,0.3,0.8,0.316,0.8,2.1,0.404,0.423,0.3,0.5,0.64,0.2,0.6,0.9,1.5,0.5,0,0.8,1,2.8
