,season,game_id,team_alias,team_game_score,w/l_ratio
692,2013,348,OSU,71.0,W
693,2013,348,ULM,31.0,L
694,2013,349,ARK,89.0,W
695,2013,349,HP,48.0,L
696,2013,350,PITT,56.0,L
697,2013,350,SYR,58.0,W
698,2013,351,BAY,52.0,L
699,2013,351,KU,69.0,W
700,2013,352,MSU,67.0,L
701,2013,352,OSU,69.0,W
702,2013,353,CLEM,78.0,L
703,2013,353,PITT,83.0,W
704,2013,354,CLEM,71.0,W
705,2013,354,FUR,35.0,L
706,2013,355,SMU,73.0,W
707,2013,355,UIC,65.0,L
708,2013,356,TENN,64.0,W
709,2013,356,XAV,49.0,L
710,2013,357,MASS,69.0,W
711,2013,357,PROV,67.0,L
712,2013,358,CAL,83.0,W
713,2013,358,COPP,64.0,L
714,2013,359,DUQ,59.0,L
715,2013,359,PSU,68.0,W
716,2013,360,UGA,63.0,W
717,2013,360,UVM,56.0,L
718,2013,361,SFNY,50.0,L
719,2013,361,SYR,56.0,W
720,2013,362,IND,52.0,L
721,2013,362,SYR,69.0,W
722,2013,363,BC,80.0,L
723,2013,363,MD,88.0,W
724,2013,364,MARQ,59.0,L
725,2013,364,SJU,74.0,W
726,2013,365,BUT,50.0,L
727,2013,365,HALL,51.0,W
728,2013,366,OKLA,77.0,W
729,2013,366,TEX,65.0,L
730,2013,367,FLA,62.0,W
731,2013,367,MSST,51.0,L
732,2013,368,HOU,70.0,L
733,2013,368,RUTG,93.0,W
734,2013,369,CIN,80.0,W
735,2013,369,TEM,76.0,L
736,2013,370,MSU,51.0,L
737,2013,370,NEB,60.0,W
738,2013,371,TENN,88.0,W
739,2013,371,TNST,67.0,L
740,2013,372,CAL,67.0,W
741,2013,372,FRES,56.0,L
742,2013,373,OSU,63.0,W
743,2013,373,PUR,61.0,L
744,2013,374,COLO,67.0,W
745,2013,374,CSU,62.0,L
746,2013,375,PSU,74.0,W
747,2013,375,WAG,62.0,L
748,2013,377,OKST,82.0,W
749,2013,377,TCU,50.0,L
750,2013,378,DSU,50.0,L
751,2013,378,GT,68.0,W
752,2013,379,SMU,70.0,W
753,2013,379,TXST,49.0,L
754,2013,380,ND,70.0,W
755,2013,380,VT,63.0,L
756,2013,381,L-IL,45.0,L
757,2013,381,WICH,57.0,W
758,2013,382,MRSH,67.0,L
759,2013,382,VAN,69.0,W
760,2013,383,LAS,72.0,L
761,2013,383,PSU,79.0,W
762,2013,384,DEP,94.0,L
763,2013,384,MARQ,96.0,W
764,2013,385,OAK,61.0,L
765,2013,385,UNC,84.0,W
766,2013,386,SBON,71.0,W
767,2013,386,SLU,68.0,L
768,2013,387,NEB,53.0,W
769,2013,387,NW,49.0,L
770,2013,388,TNTC,62.0,L
771,2013,388,USF,72.0,W
772,2013,389,COLO,91.0,W
773,2013,389,UTM,65.0,L
774,2013,390,BAY,64.0,L
775,2013,390,WVU,66.0,W
776,2013,391,LSU,81.0,W
777,2013,391,UNO,54.0,L
778,2013,392,CREI,86.0,W
779,2013,392,XAV,78.0,L
780,2013,393,CSF,62.0,L
781,2013,393,USC,76.0,W
782,2013,394,SMU,73.0,L
783,2013,394,UVA,76.0,W
784,2013,396,MCNS,36.0,L
785,2013,396,SDSU,65.0,W
786,2013,397,CCSU,56.0,L
787,2013,397,OSU,74.0,W
788,2013,398,KSU,49.0,L
789,2013,398,UK,56.0,W
790,2013,399,TCU,57.0,W
791,2013,399,UTRGV,48.0,L
792,2013,400,SFA,77.0,W
793,2013,400,VCU,75.0,L
794,2013,401,MSU,61.0,W
795,2013,401,UVA,59.0,L
796,2013,402,TEM,90.0,L
797,2013,402,UCF,94.0,W
798,2013,403,RUTG,82.0,L
799,2013,403,TEM,88.0,W
800,2013,404,ARIZ,76.0,W
801,2013,404,ORST,54.0,L
802,2013,405,MCNS,56.0,L
803,2013,405,MSU,98.0,W
804,2013,406,UNC,67.0,L
805,2013,406,WAKE,73.0,W
806,2013,407,MIA,69.0,W
807,2013,407,WAKE,56.0,L
808,2013,408,CAL,82.0,W
809,2013,408,WASH,56.0,L
